                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60393,                0.33188,                 0.8125,                0.89738,                0.68481,                0.74211,                0.53078,                0.73066,                0.41078,                0.85216,               0.067087,             0.00033245,             0.00033245
                      2,                 0.6041,                0.32755,                0.81311,                0.84424,                0.64673,                0.70667,                 0.5002,                0.77044,                0.43782,                0.86868,               0.034081,             0.00065919,             0.00065919
                      3,                0.62046,                0.33655,                0.81572,                0.87489,                0.68454,                0.73067,                 0.5201,                0.74692,                0.39891,                0.85223,              0.0010675,             0.00097934,             0.00097934
                      4,                0.63104,                0.34507,                0.81823,                0.87597,                0.63654,                0.70648,                 0.5076,                0.75574,                0.43313,                0.86548,              0.0009703,              0.0009703,              0.0009703
                      5,                 0.6262,                0.33791,                0.81755,                0.82687,                0.64104,                0.70056,                0.43782,                 1.0161,                0.68921,                 1.0082,              0.0009604,              0.0009604,              0.0009604
                      6,                0.63272,                0.34206,                0.81748,                0.76375,                0.59598,                0.68511,                0.46997,                0.84809,                0.51211,                0.90443,              0.0009505,              0.0009505,              0.0009505
                      7,                0.63664,                0.34341,                0.81999,                0.80848,                0.61649,                0.69027,                0.47836,                 0.8245,                 0.4842,                0.88468,              0.0009406,              0.0009406,              0.0009406
                      8,                0.65334,                0.34712,                0.82064,                0.84302,                0.61647,                0.68981,                0.45808,                0.93579,                0.60457,                0.93511,              0.0009307,              0.0009307,              0.0009307
                      9,                0.64271,                0.34492,                0.81911,                 0.7205,                 0.5425,                0.63754,                0.40994,                 1.0523,                0.69646,                 1.0272,              0.0009208,              0.0009208,              0.0009208
                     10,                0.66266,                0.36164,                0.82296,                0.80081,                0.59126,                 0.6707,                0.45079,                0.90222,                0.54512,                0.91802,              0.0009109,              0.0009109,              0.0009109
                     11,                0.62598,                0.33774,                0.81577,                0.63045,                0.70457,                0.68329,                0.48535,                0.77473,                0.43366,                0.85692,               0.000901,               0.000901,               0.000901
                     12,                0.62386,                0.33941,                0.81498,                0.82714,                0.61523,                0.69321,                0.48431,                0.80992,                0.51119,                0.88106,              0.0008911,              0.0008911,              0.0008911
